kda_ratio,gold_earned,turrets_destroyed,turret_damage,lord_kills,turtle_kills,tank_count,fighter_count,assassin_count,mage_count,marksman_count,support_count,kemenangan
2.19,8860,10,7191,0,4,0,1,1,1,1,1,0
3.21,24023,2,3685,0,1,1,2,1,0,0,1,0
2.44,16666,10,4558,1,3,0,1,1,1,1,1,1
4.92,19394,4,5890,2,4,0,2,1,0,1,1,1
0.57,23787,7,14206,2,5,0,1,1,1,1,1,1
1.33,20990,1,8873,3,1,0,1,1,1,1,1,1
0.7,16529,4,6887,1,0,0,3,0,2,0,0,1
2.41,10027,7,11687,2,2,1,0,1,1,0,2,1
2.11,14184,6,10392,3,3,1,0,1,2,1,0,1
3.37,17762,0,10110,1,2,0,0,1,1,2,1,1
2.85,23934,6,9408,3,4,1,0,1,1,0,2,1
1.53,24198,10,13506,1,3,1,3,0,1,0,0,0
4.12,11627,3,12173,2,1,2,0,2,1,0,0,1
2.42,17474,6,10901,3,2,0,2,0,0,2,1,1
4.74,11304,3,7232,1,0,1,1,1,1,1,0,1
4.99,12737,5,2854,0,0,0,2,1,1,0,1,0
1.59,12931,6,2202,3,2,0,2,1,0,1,1,1
4.17,17339,10,13589,3,4,0,1,1,1,1,1,1
3.4,16680,0,3959,3,1,0,2,0,0,1,2,0
3.63,24646,9,10815,0,3,0,4,0,1,0,0,0
1.35,15400,2,11874,3,2,1,0,2,0,1,1,1
0.96,24482,8,4961,3,5,1,1,1,2,0,0,1
0.58,11987,7,8015,3,2,0,0,1,1,1,2,1
3.15,22565,2,12677,3,2,1,1,0,1,0,2,1
1.38,15996,2,9683,2,0,0,3,0,1,0,1,1
0.57,11420,0,2301,0,2,0,3,0,0,2,0,0
1.26,9816,9,7854,1,1,0,1,1,1,1,1,1
2.83,9409,9,2784,3,0,0,1,1,2,0,1,0
4.15,18647,9,4950,0,3,0,0,1,1,1,2,1
3.1,18966,5,6146,0,1,1,1,0,1,1,1,1
